14
Winterwings-DEATHKNIGHT
Dirkon-DEMONHUNTER
Deathhammer-DRUID
Resoka-HUNTER
Chàrizard-MAGE
Xiaoabu-MAGE
Cassezvous-MONK
Dreamlost-PALADIN
Wîllów-PALADIN
Exoskeleton-PRIEST
Padgarios-ROGUE
Paxi-WARLOCK
Blackcuillin-WARRIOR
Totempledge-WARRIOR
11
Bladesworn Disciple
Burning Hound
Chittering Fiend
Dreamlost-Sargeras
Hateful Scamp
Invasive Gazer
Shadowsworn Betrayer
Vengeful Conqueror
Vogrethar the Defiled
Wicked Corruptor
Zephyr Surfer
10/30 13:27:10.986  COMBAT_LOG_VERSION,4,ADVANCED_LOG_ENABLED,0
10/30 13:27:27.139  SPELL_ENERGIZE,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,221322,"Runic Attenuation",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,1,0,6,0
10/30 13:27:27.139  SPELL_DAMAGE,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Creature-0-3024-1779-3778-125776-0002776077,"Wicked Corruptor",0xa48,0x0,222024,"Obliterate",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,284453,-1,1,0,0,0,nil,nil,nil
10/30 13:27:27.139  SPELL_DAMAGE,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Creature-0-3024-1779-3778-125776-0002776077,"Wicked Corruptor",0xa48,0x0,50401,"Razorice",0x10,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,19587,-1,16,0,0,0,nil,nil,nil
10/30 13:27:27.139  SPELL_AURA_APPLIED_DOSE,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Creature-0-3024-1779-3778-125776-0002776077,"Wicked Corruptor",0xa48,0x0,51714,"Razorice",0x10,DEBUFF,2
10/30 13:27:27.139  SPELL_AURA_APPLIED,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,59052,"Rime",0x10,BUFF
10/30 13:27:27.139  SPELL_DAMAGE,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Creature-0-3024-1779-3778-125776-0002776077,"Wicked Corruptor",0xa48,0x0,253597,"Inexorable Assault",0x10,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,122291,-1,16,0,0,0,nil,nil,nil
10/30 13:27:27.139  SPELL_DAMAGE,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Creature-0-3024-1779-3778-125776-0002776077,"Wicked Corruptor",0xa48,0x0,66198,"Obliterate Off-Hand",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,526677,-1,1,0,0,0,1,nil,nil
10/30 13:27:27.139  SPELL_AURA_APPLIED,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Creature-0-3024-1779-3778-125776-0002776077,"Wicked Corruptor",0xa48,0x0,207165,"Abomination's Might",0x1,DEBUFF
10/30 13:27:27.260  SPELL_AURA_APPLIED,Player-76-05C7F87D,"Dirkon-Sargeras",0x518,0x0,Player-76-05C7F87D,"Dirkon-Sargeras",0x518,0x0,2383,"Find Herbs",0x1,BUFF
10/30 13:27:27.260  SPELL_AURA_APPLIED,Player-76-05C7F87D,"Dirkon-Sargeras",0x518,0x0,Player-76-05C7F87D,"Dirkon-Sargeras",0x518,0x0,227723,"Mana Divining Stone",0x1,BUFF
10/30 13:27:27.260  SPELL_AURA_APPLIED,Player-76-05C7F87D,"Dirkon-Sargeras",0x518,0x0,Player-76-05C7F87D,"Dirkon-Sargeras",0x518,0x0,43308,"Find Fish",0x1,BUFF
10/30 13:27:27.260  SPELL_AURA_APPLIED,Player-76-05C7F87D,"Dirkon-Sargeras",0x518,0x0,Player-76-05C7F87D,"Dirkon-Sargeras",0x518,0x0,242551,"Fel Focus",0x1,BUFF
10/30 13:27:27.260  SPELL_AURA_APPLIED,Player-76-05C7F87D,"Dirkon-Sargeras",0x518,0x0,Player-76-05C7F87D,"Dirkon-Sargeras",0x518,0x0,186401,"Sign of the Skirmisher",0x1,BUFF
10/30 13:27:27.260  SPELL_AURA_APPLIED,Player-76-05C7F87D,"Dirkon-Sargeras",0x518,0x0,Player-76-05C7F87D,"Dirkon-Sargeras",0x518,0x0,201679,"Well Fed",0x1,BUFF
10/30 13:27:27.260  SPELL_AURA_APPLIED,Player-76-05C7F87D,"Dirkon-Sargeras",0x518,0x0,Player-76-05C7F87D,"Dirkon-Sargeras",0x518,0x0,194316,"Cauterizing Blink",0x4,BUFF
10/30 13:27:27.260  SPELL_AURA_APPLIED,Player-76-05C7F87D,"Dirkon-Sargeras",0x518,0x0,Player-76-05C7F87D,"Dirkon-Sargeras",0x518,0x0,87024,"Cauterized",0x4,DEBUFF
10/30 13:27:27.260  SPELL_PERIODIC_HEAL,Player-76-05C7F87D,"Dirkon-Sargeras",0x518,0x0,Player-76-05C7F87D,"Dirkon-Sargeras",0x518,0x0,194316,"Cauterizing Blink",0x4,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,160267,160267,0,nil
10/30 13:27:27.260  SPELL_DAMAGE,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Creature-0-3024-1779-3778-125776-0002776077,"Wicked Corruptor",0xa48,0x0,243122,"Crystalline Swords",0x10,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,183436,-1,16,0,0,0,nil,nil,nil
10/30 13:27:27.260  SWING_DAMAGE,Creature-0-3024-1779-3778-125759-0002776077,"Shadowsworn Betrayer",0xa48,0x0,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,68315,-1,1,0,0,0,nil,nil,nil
10/30 13:27:28.034  SPELL_DAMAGE,Player-76-0801833F,"Padgarios-Sargeras",0x528,0x0,Creature-0-3024-1779-3778-125776-0002776077,"Wicked Corruptor",0xa48,0x0,196771,"Remorseless Winter",0x10,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,81279,-1,16,0,0,0,nil,nil,nil
